name,loss,rmse_orig,mae_orig,mse,rmse,mae,smape,train_mse,train_rmse,train_mae,train_smape,val_mse,val_rmse,val_mae,val_smape
"model_[34, 64, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0017625414182401,,,,,,,,,,,,,,
"model_[34, 64, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_L1Loss",0.01501902041773,,,,,,,,,,,,,,
"model_[34, 64, 32, 1]_output_LinearClamp_intermediate_ReLU_normalized_data_True_loss_L1Loss",0.0157689481305869,,,,,,,,,,,,,,
"model_[34, 64, 32, 1]_output_LinearClamp_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0015845594366922,,,,,,,,,,,,,,
"model_[33, 64, 32, 1]_output_LinearClamp_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0158784927286234,,,,,,,,,,,,,,
"model_[33, 32, 32, 1]_output_Softmax_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0169706207089206,,,,,,,,,,,,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0167128954176193,,,,,,,,,,,,,,
"model_[33, 64, 32, 1]_output_Sigmoid_intermediate_Sigmoid_normalized_data_True_loss_MSELoss",0.0169549603936492,,,,,,,,,,,,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_Sigmoid_normalized_data_True_loss_MSELoss",0.0172109124187286,,,,,,,,,,,,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0357195791342046,5.794251441955566,4.713956356048584,,,,,,,,,,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0355806774679812,5.771113872528076,4.8544793128967285,,,,,,,,,,,,
"model_[33, 32, 32, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0347234170592911,5.664102554321289,4.651347637176514,,,,,,,,,,,,
"model_[33, 128, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0347747715906731,5.658338069915772,4.711166858673096,,,,,,,,,,,,
"model_[33, 256, 1]_output_Sigmoid_intermediate_ReLU_normalized_data_True_loss_MSELoss",0.0227955521360415,5.676990509033203,4.661653995513916,,,,,,,,,,,,
